skill,current_category,skill_type,skillworth_eligibility,reason,job_count,company_count,role_count,market_signal,learning_hours_expected,current_skillworth_rank,confidence,sensitivity_rank_min,sensitivity_rank_max
Python,programming,programming_language,main,可形成明确学习路径并直接用于技术岗位任务。,363,145,13,47.64,160.0,1,56.06,1,2
SQL,database,database,main,具体数据库或查询技术，可定义可验证的学习目标。,186,104,10,36.2,100.0,2,55.31,1,2
AI,ai_ml,broad_concept,excluded,AI 是宽泛领域概念，无法对应单一、可验证的下一步学习目标。,404,165,13,47.03,240.0,3,57.61,1,2
Git,devops,engineering_tool,main,Git 是明确的工程工具，可形成可验证学习目标。,47,33,6,23.76,55.0,4,47.81,3,3
Agile,product,general_methodology,excluded,Agile 是一般工作方法，不是具体技术学习资产。,107,72,6,25.4,70.0,5,49.86,1,3
Optimization,statistics,broad_concept,excluded,Optimization 含义过宽，无法对应单一学习目标。,234,113,12,34.87,180.0,6,53.65,2,3
Docker,devops,devops_tool,main,具体工程或交付工具，可形成明确学习产出。,59,34,5,25.74,100.0,7,49.69,4,5
Excel,office,general_productivity_tool,secondary,Excel 对数据岗位有实际价值，但属于岗位相关辅助工具。,113,75,4,24.96,100.0,8,51.72,1,2
Power BI,visualization,data_tool,main,具体可视化工具，可形成明确学习产出。,70,55,6,24.78,100.0,9,50.27,4,8
Machine Learning,ai_ml,broad_concept,secondary,机器学习是宽泛能力领域，适合方向分析而非具体技术主榜。,250,102,9,37.83,260.0,10,53.86,1,2
PowerPoint,office,general_productivity_tool,excluded,一般生产力工具不参与具体技术学习主榜。,67,46,2,18.53,60.0,11,47.7,4,4
AWS,cloud,cloud_platform,main,具体云平台或云技术，可形成明确学习产出。,93,53,8,30.81,220.0,12,50.12,6,10
Word,office,general_productivity_tool,excluded,一般生产力工具不参与具体技术学习主榜。,37,27,1,14.69,35.0,13,41.22,5,5
Tableau,visualization,data_tool,main,具体可视化工具，可形成明确学习产出。,45,36,4,19.57,100.0,14,50.01,7,26
Azure,cloud,cloud_platform,main,具体云平台或云技术，可形成明确学习产出。,68,47,7,28.43,220.0,15,50.27,7,24
Bash,other,engineering_tool,main,具体工程技术，可形成明确学习产出。,45,27,1,18.44,90.0,16,47.61,7,18
Java,programming,programming_language,main,可形成明确学习路径并直接用于技术岗位任务。,96,44,7,27.98,220.0,17,46.11,8,16
